id,financescore,country,classsize,city,rating,totalscore,numericalstaff,staffstudentratio,approvals,academicscore,summary,techscore,citySafety,confidence,housingprovision,techecosystem,curriculum,staffcount,schoolname,worklifescore,noncontacttime,healthcoverage,image,Profit Status,salaryRange,Ownership,inspect,validated,profit status,ownership,citysafety,lastSync,scrapedJobsCount,scrapedJobsList,revalidationError,revalidationStatus,isRevalidating,revalidationCompletedAt,cachedStability,lastScrapedAt,website,agency,careersPageUrl,name,tesOrganizationId,tesEmployerSlug,updatedAt
"FLIS0011","7.8","Hong Kong","24","Hong Kong","Good","8.0","120","1:14","IB","8.5","Local-Int'l HK hybrid.","7.8","9.1","8.2","Subsidised","Local/HK Integrated","HKDSE/IB","120","G.T. (Ellen Yeung)","7.0","15%","Standard","","Non-Profit","$3,340.00","Tanglin Trust Ltd","BSO","LFI","Non-Profit","Tanglin Trust Ltd","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076644,""_nanoseconds"":475000000}","","2026-08-30T07:57:24.473Z","https://www.gtcollege.edu.hk/recruitment","JobsDB Hong Kong, LinkedIn","https://www.gtcollege.edu.hk/recruitment","G.T. (Ellen Yeung)","","","2026-08-30T16:14:23.675Z"
"FLIS0012","8.6","China","20","Foshan","Good","8.5","350","1:9","IB, CIE","8.8","Massive premium campus.","8.5","8.5","8.5","Provided","Large Campus Tech","IB / CIE","350","GD Country Garden","8.2","20%","Full Private","","Non-Profit","$3,230.00","G.T. Education Foundation","HK EDB","LFI","Non-Profit","G.T. Education Foundation","8.5","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076641,""_nanoseconds"":664000000}","","2026-08-30T07:57:21.663Z","https://www.bgy.gd.cn/job/","Bright Scholar Portal, eChinaCareers, Teach Away","https://www.bgy.gd.cn/job/","GD Country Garden","1058223","guangdong-country-garden-school--gcgs--1058223","2026-08-30T16:14:23.675Z"
"FLIS0013","8.0","Hong Kong","24","Hong Kong","Good","8.0","140","1:13","IB","8.2","Heritage boarding HK.","7.5","9.1","8.0","Subsidised","Heritage/Modern","HKDSE/IB","140","St. Stephen's","7.2","15%","Standard","","For-Profit","$3,260.00","Bright Scholar Education","CIS","LFI","For-Profit","Bright Scholar Education","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076640,""_nanoseconds"":879000000}","","2026-08-30T07:57:20.878Z","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","JobsDB Hong Kong, Direct HK Gov Portal","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","St. Stephen's","","","2026-08-30T16:14:23.675Z"
"FLIS0014","8.5","Singapore","20","Singapore","Good","8.9","160","1:11","IB","8.9","Rigorous academic hub.","8.8","9.6","8.7","Subsidised","LMS Integrated","IGCSE / IB","160","ACS International","8.6","20%","Full Private","","Non-Profit","$3,540.00","Anglican Church (HK)","HK EDB","LFI","Non-Profit","Anglican Church (HK)","9.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076642,""_nanoseconds"":656000000}","","2026-08-30T07:57:22.655Z","https://www.acsinternational.edu.sg/careers/","Search Associates, JobStreet Singapore, LinkedIn","https://www.acsinternational.edu.sg/careers/","ACS International","1074273","acs-international-singapore-1074273","2026-08-30T16:14:23.675Z"
"FLIS0015","7.5","Azerbaijan","18","Baku","Good","7.4","75","1:8","IB, CIS","7.8","Innovative Baku leader.","7.5","7.2","8.8","Provided","Smart Board Focus","IB","100","European Azerbaijan","7.2","22%","Standard","","Non-Profit","$2,475.00","ACS Foundation","IB / CPE","LFI","For-Profit","ACS Foundation","6.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076636,""_nanoseconds"":988000000}","","2026-08-30T07:57:16.987Z","https://eas.edu.az/careers/","Teacher Horizons, LinkedIn, Search Associates","https://eas.edu.az/careers/","European Azerbaijan","1066426","the-european-azerbaijan-school-1066426","2026-08-30T16:14:23.675Z"
"FLIS0016","8.2","Singapore","22-25","Singapore","Good","8.7","155","1:13","IB","8.8","High-achieving CBSE/IB.","8.5","9.6","9.4","Subsidised","Google Ref.","CBSE / IB","155","NPS International","8.4","20%","Full Private","","Non-Profit","$3,180.00","TEAS Foundation","CIS","LFI","Non-Profit","TEAS Foundation","9.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076645,""_nanoseconds"":788000000}","","2026-08-30T07:57:25.787Z","https://www.npsinternational.edu.sg/careers","JobStreet Singapore, LinkedIn, NPS Group Portal","https://www.npsinternational.edu.sg/careers","NPS International","","","2026-08-30T16:14:23.675Z"
"FLIS0017","9.0","Hong Kong","18-20","Hong Kong","Good","9.3","210","1:7","IB, CIS, WASC","9.7","Elite bilingual immersion.","9.5","9.1","9.8","Subsidised","Apple Dist.","IB / Bilingual","210","The ISF Academy","9.2","25%","Premium","","For-Profit","$4,570.00","TGE Group","CPE / IB","LFI","For-Profit","TGE Group","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076640,""_nanoseconds"":317000000}","","2026-08-30T07:57:20.316Z","https://academy.isf.edu.hk/careers/","Search Associates, Schrole, JobsDB Hong Kong, LinkedIn","https://academy.isf.edu.hk/careers/","The ISF Academy","1273163","the-independent-schools-foundation-academy-isf-1273163","2026-08-30T16:14:23.675Z"
"FLIS0018","9.4","China","20-22","Beijing","Good","9.2","232","1:6","IB, CIS, WASC","9.5","Premier British ethos.","9.3","8.6","9.6","Provided","Microsoft Gold","British / IB","232","Dulwich Beijing","9.0","30%","Premium","","Non-Profit","$4,050.00","ISF Foundation","CIS / WASC","LFI","Non-Profit","ISF Foundation","8.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076642,""_nanoseconds"":925000000}","","2026-08-30T07:57:22.924Z","https://beijing.dulwich.org/careers","Education in Motion (EiM) Portal, Search Associates, Schrole","https://beijing.dulwich.org/careers","Dulwich Beijing","1057433","dulwich-college-beijing-1057433","2026-08-30T16:14:23.675Z"
"FLIS0019","8.5","Hong Kong","22-25","Hong Kong","Good","8.9","189","1:10","IB","9.4","Math/Science foundation.","8.8","9.1","9.5","Subsidised","Canvas/Mac","SG / IB","189","Singapore Int'l (HK)","8.6","20%","Full Private","","For-Profit","$3,930.00","Education in Motion (EiM)","BSO","LFI","For-Profit","Education in Motion (EiM)","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076642,""_nanoseconds"":604000000}","","2026-08-30T07:57:22.603Z","https://www.singapore.edu.hk/careers/","JobsDB Hong Kong, LinkedIn, Singapore MOE Portal","https://www.singapore.edu.hk/careers/","Singapore Int'l (HK)","1262787","singapore-international-school-1262787","2026-08-30T16:14:23.675Z"
"FLIS0020","8.2","Hong Kong","20","Hong Kong","Good","8.5","165","1:12","IB","8.7","Through-train retention.","8.2","9.1","9.1","Subsidised","Managed Chrome","IGCSE / IB","165","PLK Choi Kai Yau","8.4","18%","Full Private","","Non-Profit","$3,530.00","Ministry of Education (SG)","HK EDB","LFI","Non-Profit","Ministry of Education (SG)","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076637,""_nanoseconds"":892000000}","","2026-08-30T07:57:17.891Z","http://www.cky.edu.hk/recruitment/","JobsDB Hong Kong, Po Leung Kuk Portal","http://www.cky.edu.hk/recruitment/","PLK Choi Kai Yau","","","2026-08-30T16:14:23.675Z"
"FLIS0021","9.1","China","18-22","Shanghai","Good","9.0","205","1:8","IB, WASC","9.2","Holistic bilingual leader.","9.3","8.8","9.3","Provided","STEAM/VR Hub","IGCSE / IB","205","YK Pao School","8.8","25%","Premium","","Non-Profit","$4,120.00","Po Leung Kuk","HK EDB","LFI","Non-Profit","Po Leung Kuk","8.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076644,""_nanoseconds"":736000000}","","2026-08-30T07:57:24.735Z","https://www.ykpaoschool.cn/careers","Search Associates, Schrole, eChinaCareers, LinkedIn","https://www.ykpaoschool.cn/careers","YK Pao School","1057565","yk-pao-school-1057565","2026-08-30T16:14:23.675Z"
"FLIS0022","8.8","India","20-22","Noida","Good","8.2","325","1:8","IB","8.6","Progressive Noida leader.","8.5","6.2","8.9","Subsidised","Smart Classroom","CBSE / IB","325","Step by Step","9.0","22%","Standard","","Non-Profit","$2,570.00","YK Pao Foundation","Riverside / WASC","LFI","Non-Profit","YK Pao Foundation","6.2","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076633,""_nanoseconds"":309000000}","","2026-08-30T07:57:13.307Z","https://stepbystep.ed.in/careers/","Naukri.com, LinkedIn","https://stepbystep.ed.in/careers/","Step by Step","","","2026-08-30T16:14:23.675Z"
"FLIS0023","9.5","China","16-22","Shanghai","Good","9.3","150","1:16","IB, CIS, WASC","9.6","Flagship IB performance.","9.4","8.8","9.6","Provided","Media Arts/Film","British / IB","150","Dulwich Pudong","9.2","30%","Premium","","For-Profit","$4,210.00","Private / Family","IB","LFI","For-Profit","Private / Family","8.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076632,""_nanoseconds"":671000000}","","2026-08-30T07:57:12.669Z","https://shanghai-pudong.dulwich.org/careers","Education in Motion (EiM) Portal, Search Associates, Schrole","https://shanghai-pudong.dulwich.org/careers","Dulwich Pudong","1057370","dulwich-college-shanghai-pudong-dcs-1057370","2026-08-30T16:14:23.675Z"
"FLIS0024","9.3","Singapore","22-23","Singapore","Good","9.2","195","1:10","IB","9.1","Premium Lasallian IB.","9.0","9.6","9.6","Subsidised","1:1 Chrome","IGCSE / IB","195","SJI International","9.2","25%","Full Private","","For-Profit","$3,895.00","Education in Motion (EiM)","BSO","LFI","For-Profit","Education in Motion (EiM)","9.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076647,""_nanoseconds"":23000000}","","2026-08-30T07:57:27.022Z","https://www.sji-international.com.sg/about/careers","Search Associates, Schrole, JobStreet Singapore, LinkedIn","https://www.sji-international.com.sg/about/careers","SJI International","1055929","sji-international-school-1055929","2026-08-30T16:14:23.675Z"
"FLIS0025","8.8","Hong Kong","20","Hong Kong","Good","9.0","300","1:10","IB, CIS","9.0","Ontario/IB dual focus.","9.2","9.1","9.5","Subsidised","Arts/Tech Center","IB / Ontario","300","Canadian Int'l (HK)","9.1","25%","Full Private","","Non-Profit","$4,140.00","Lasallian Brothers","IB / CPE","LFI","Non-Profit","Lasallian Brothers","9.1","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076638,""_nanoseconds"":706000000}","","2026-08-30T07:57:18.705Z","https://www.cdnis.edu.hk/careers","Search Associates, Schrole, LinkedIn, JobsDB Hong Kong","https://www.cdnis.edu.hk/careers","Canadian Int'l (HK)","1071231","canadian-international-school-of-hong-kong-1071231","2026-08-30T16:14:23.675Z"
"FLIS0026","9.2","Qatar","20-23","Doha","Good","8.8","200","1:9","IB, CIS, NEASC","8.5","QF innovation leader.","8.5","9.2","9.4","Provided","High-Tech Lab","IB","200","Qatar Academy","8.6","20%","Full Gov/Pri","","Non-Profit","$3,850.00","Independent Board","CIS / IB","LFI","Non-Profit","Independent Board","9.2","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076635,""_nanoseconds"":281000000}","","2026-08-30T07:57:15.280Z","https://www.qf.org.qa/careers","Qatar Foundation Career Portal, Teach Away, Search Associates","https://www.qf.org.qa/careers","Qatar Academy","1071381","qatar-foundation-1071381","2026-08-30T16:14:23.675Z"
"FLIS0027","9.6","UAE","18-22","Dubai","Good","9.5","185","1:10","IB, CIS","9.3","Innovation-first flagship.","9.8","9.1","9.7","Provided","Apple Dist.","IB","185","GEMS World Dubai","9.5","25%","Premium","","Non-Profit","$4,170.00","Qatar Foundation","CIS / NEASC","LFI","Non-Profit","Qatar Foundation","9.1","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076634,""_nanoseconds"":161000000}","","2026-08-30T07:57:14.159Z","https://www.gemsworldacademy-dubai.com/en/Careers","GEMS Education Careers Portal, Teach Away, Gulf Talent","https://www.gemsworldacademy-dubai.com/en/Careers","GEMS World Dubai","1060996","gems-world-academy-dubai-1060996","2026-08-30T16:14:23.675Z"
