school_id,school_name,city,country,curriculum,savings_potential_single_usd,academic_score,careers_page_url,website_url,group_operator,region
"FLIS0035","GIIS SMART","Singapore","Singapore","CBSE / IB","","8.6","https://singapore.globalindianschool.org/careers","https://singapore.globalindianschool.org","Global Schools Foundation",""
"FLIS0036","New PORG Prague","Prague","Czechia","IB DP","","9.2","https://www.porg.cz/en/careers","https://www.porg.cz","",""
"FLIS0037","Ecole Jeannine Manuel","Paris","France","French Ministry of Education / IB Continuum (PYP / MYP / DP)","","9.7","https://www.ecolejeanninemanuel.org/en/work-with-us/","https://www.ecolejeanninemanuel.org","","europe"
"FLIS0038","St Catherine's","Athens","Greece","British / IB","","9.0","https://www.stcatherines.gr/careers/","https://www.stcatherines.gr","",""
"FLIS0039","IS Monaco","Monaco","Monaco","IB","","8.8","https://www.ismonaco.org/careers","https://www.ismonaco.org","",""
"FLIS0040","St Louis Milan","Milan","Italy","British / IB","","9.4","https://www.stlouisschool.com/careers","https://www.stlouisschool.com","",""
"FLIS0041","Heritage Gurugram","Gurugram","India","IB/IGCSE/CBSE","","8.7","https://www.heritagexperiential.org/careers/","https://www.heritagexperiential.org","Inspired Education",""
"FLIS0042","Cheltenham Muscat","Muscat","Oman","British (iGCSE, A-Level)","","8.2","https://cheltenhammuscat.com/careers/","https://cheltenhammuscat.com","Cognita",""
"FLIS0043","TISB Bangalore","Bengaluru","India","IGCSE / IB","","9.4","https://www.tisb.org/careers","https://www.tisb.org","",""
"FLIS0044","Calcutta Int'l","Kolkata","India","GCE/IGCSE/IB","","8.2","https://www.calcat.in/careers/","https://www.calcat.in","",""
"FLIS0045","SSIS Shanghai","Shanghai","China","SG / IGCSE / IB","","8.8","https://www.ssis.asia/careers/","https://www.ssis.asia","",""
"FLIS0046","Dulwich Suzhou","Suzhou","China","British / IB","","9.0","https://suzhou.dulwich.org/careers","https://suzhou.dulwich.org","",""
"FLIS0047","Aiglon College","Villars","Switzerland","British / IB","","9.4","https://www.aiglon.ch/careers","https://www.aiglon.ch","",""
"FLIS0048","Bahrain Middle High School (DoDEA)","Manama","Bahrain","US / IB","","8.5","https://bahrainmhs.dodea.edu/school-employment","https://bahrainmhs.dodea.edu","",""
"FLIS0049","IS Prague","Prague","Czechia","IB","","8.8","https://www.isp.cz/careers","https://www.isp.cz","",""
"FLIS0050","Frankfurt Int'l","Frankfurt","Germany","IB","1195","9.3","https://www.fis.edu/careers","https://www.fis.edu","",""
"FLIS0051","King's College School Alicante","Alicante","Spain","British","","8.6","https://alicante.kingscollegeschool.es/careers/","https://alicante.kingscollegeschool.es","Inspired Education",""
"FLIS0052","St George's Rome","Rome","Italy","British / IB","","8.9","https://www.stgeorge.it/careers","https://www.stgeorge.it","Independent Non-Profit",""
"FLIS0053","Oak House BCN","Barcelona","Spain","British / IB / Spanish","","8.7","https://www.oakhouseschool.com/careers","https://www.oakhouseschool.com","",""
"FLIS0054","IS Lausanne","Lausanne","Switzerland","IB","","9.4","https://www.isl.ch/join-us/employment-opportunities","https://www.isl.ch","",""
"FLIS0055","Beau Soleil","Villars","Switzerland","IB / French / US","1900","9.2","https://www.nordangliaeducation.com/careers","https://www.nordangliaeducation.com/beau-soleil","Nord Anglia Education",""
"FLIS0056","English College Prague","Prague","Czechia","IGCSE / IB DP","","8.8","https://www.englishcollege.cz/careers/","https://www.englishcollege.cz","",""
"FLIS0057","American Milan","Milan","Italy","US / IB","","8.7","https://www.asmilan.org/work-with-us","https://www.asmilan.org","",""
"FLIS0058","St George's Montreux","Montreux","Switzerland","British / IB","","9.1","https://www.stgeorges.ch/careers","https://www.stgeorges.ch","",""
"FLIS0059","PaRK International School","Lisbon","Portugal","IB / Portuguese","","8.4","https://www.park-is.com/careers/","https://www.park-is.com","Inspired Education",""
"FLIS0060","Zurich Int'l","Zurich","Switzerland","IB / US","","9.5","https://www.zis.ch/careers","https://www.zis.ch","Independent Non-Profit",""
"FLIS0061","British School of Brussels (BSB)","Brussels","Belgium","British / IB","","9.4","https://www.britishschool.be/our-school/work-with-us/","https://www.britishschool.be","",""
"FLIS0062","St Peter's BCN","Barcelona","Spain","IB","","8.6","https://stpeters.es/careers/","https://stpeters.es","",""
"FLIS0063","Int'l College Spain","Madrid","Spain","IB","1200","8.9","https://www.nordangliaeducation.com/ics-madrid/careers","https://www.nordangliaeducation.com","",""
"FLIS0064","Aloha College","Marbella","Spain","British / IB","","8.5","https://aloha-college.com/careers/","https://aloha-college.com","Independent",""
"FLIS0065","Benjamin Franklin","Barcelona","Spain","US / IB / AP","","8.8","https://www.bfischool.org/about-us/careers","https://www.bfischool.org","",""
"FLIS0066","Leysin American","Leysin","Switzerland","US / IB","","8.7","https://www.las.ch/about/careers","https://www.las.ch","",""
"FLIS0067","Bonn International","Bonn","Germany","IB","","8.6","https://www.bonn-is.de/work/teaching-positions","https://www.bonn-is.de/work/teaching-positions","",""
"FLIS0068","IS Amsterdam","Amsterdam","Netherlands","IB","950","9.4","https://www.isa.nl/careers","https://www.isa.nl","",""
"FLIS0069","American School BCN","Barcelona","Spain","US / IB","","8.9","https://www.asbarcelona.com/careers","https://www.asbarcelona.com","",""
"FLIS0070","Haut-Lac Int'l","St-Légier","Switzerland","IB / Swiss","","8.4","https://www.haut-lac.ch/en/careers/","https://www.haut-lac.ch","",""
"FLIS0071","American International School Vienna","Vienna","Austria","US / IB","","9.2","https://www.ais.at/employment/faculty-openings","https://www.ais.at","",""
"FLIS0072","College du Leman","Geneva","Switzerland","Multilingual","1800","9.1","https://www.nordangliaeducation.com/careers","https://www.nordangliaeducation.com/cdl-geneva","Nord Anglia Education",""
"FLIS0073","International School of Brussels (ISB)","Brussels","Belgium","US / IB","","9.3","https://www.isb.be/join-our-team","https://www.isb.be","Independent",""
"FLIS0074","Riverside Prague","Prague","Czechia","English Nat. / IB","","8.3","https://www.riversideschool.cz/contact/vacancies/","https://www.riversideschool.cz/contact/vacancies/","",""
"FLIS0075","IS Hellerup","Copenhagen","Denmark","IB","","8.2","https://ish.dk/vacancies/","https://ish.dk/vacancies/","",""
"FLIS0076","St George's Cologne","Cologne","Germany","British / IB","","8.8","https://www.stgeorgesschool.com/careers","https://www.stgeorgesschool.com","",""
"FLIS0077","IS Düsseldorf","Düsseldorf","Germany","IB","","9.0","https://www.isdedu.de/careers","https://www.isdedu.de","",""
"FLIS0078","IS Zug & Luzern","Zug","Switzerland","IB","","9.2","https://www.iszl.ch/join-our-team","https://www.iszl.ch","",""
"FLIS0079","Metropolitan Frankfurt","Frankfurt","Germany","British / IB","","8.4","https://m-s-f.de/careers/","https://m-s-f.de","",""
"FLIS0080","Ermitage Int'l","Paris","France","French / IB","","8.8","https://www.ermitage.fr/en/join-our-team","https://www.ermitage.fr","Globeducate",""
"FLIS0081","Oslo International","Oslo","Norway","IB","","9.2","https://www.oslointernationalschool.no/employment","https://www.oslointernationalschool.no","",""
"FLIS0082","St Julian's School","Lisbon","Portugal","British / IB / Port.","","9.3","https://www.stjulians.com/work-with-us","https://www.stjulians.com","",""
"FLIS0083","American School Madrid","Madrid","Spain","US / IB / AP","","9.1","https://www.asmadrid.org/careers","https://www.asmadrid.org","",""
"FLIS0084","British Int'l Budapest","Budapest","Hungary","British / IB","1100","8.8","https://www.nordangliaeducation.com/bis-budapest/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0085","St George's Munich","Munich","Germany","British / IB","","8.6","https://www.stgeorgesschool.com/careers","https://www.stgeorgesschool.com","St. George's",""
"FLIS0086","TASIS Switzerland","Lugano","Switzerland","US / IB / AP","","9.3","https://switzerland.tasis.com/employment","https://switzerland.tasis.com","",""
"FLIS0087","IS Athens","Athens","Greece","IB / US","","8.2","https://www.isa.edu.gr/about/join-our-team","https://www.isa.edu.gr/about/join-our-team","",""
"FLIS0088","Danube International School Vienna","Vienna","Austria","IB (PYP, MYP, DP)","","8.5","https://www.danubeschool.com/about-us/working-at-disv","https://www.danubeschool.com","",""
"FLIS0089","British BCN (Nexus)","Barcelona","Spain","British / IB","","8.9","https://www.britishschoolbarcelona.com/careers","https://www.britishschoolbarcelona.com","",""
"FLIS0090","Heidelberg Int'l","Heidelberg","Germany","IB","","8.2","https://www.hischool.de/employment","https://www.hischool.de","Cognita",""
"FLIS0091","British International School Riyadh","Riyadh","Saudi Arabia","UK/A-Level","","8.5","https://www.bisr.com.sa/careers","https://www.bisr.com.sa","",""
"FLIS0092","SEK International School Riyadh","Riyadh","Saudi Arabia","IB","","7.0","https://riyadh.sek.international/work-with-us/","https://riyadh.sek.international/work-with-us/","",""
"FLIS0093","Reigate Grammar School Riyadh","Riyadh","Saudi Arabia","UK","","7.8","https://rgs-riyadh.edu.sa/careers/","https://rgs-riyadh.edu.sa","",""
"FLIS0094","Downe House Riyadh","Riyadh","Saudi Arabia","UK","","7.5","https://www.downehouseriyadh.com/careers/","https://www.downehouseriyadh.com","Inspired Education",""
"FLIS0095","Al Faris International School","Riyadh","Saudi Arabia","IB","","6.5","https://alfaris.edu.sa/careers/","https://alfaris.edu.sa","",""
"FLIS0096","Misk Schools","Riyadh","Saudi Arabia","IB/National","","7.0","https://miskschools.edu.sa/careers","https://miskschools.edu.sa","",""
"FLIS0097","Saud International School","Riyadh","Saudi Arabia","UK/US","","6.0","https://sis.edu.sa/careers/","https://sis.edu.sa","",""
"FLIS0098","British International School Abu Dhabi","Abu Dhabi","United Arab Emirates","UK/IB","2400","8.2","https://www.nordangliaeducation.com/bis-abu-dhabi/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0099","Nord Anglia International School Abu Dhabi","Abu Dhabi","United Arab Emirates","UK/IB","2400","8.0","https://www.nordangliaeducation.com/nas-abu-dhabi/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0100","Cranleigh Abu Dhabi","Abu Dhabi","United Arab Emirates","UK","","8.8","https://www.cranleigh.ae/careers","https://www.cranleigh.ae","Aldar Academies",""
"FLIS0101","Brighton College Abu Dhabi","Abu Dhabi","United Arab Emirates","UK","","8.7","https://www.brightoncollege.ae/careers","https://www.brightoncollege.ae","",""
"FLIS0102","Raha International School","Abu Dhabi","United Arab Emirates","IB","","8.4","https://www.taaleem.ae/careers","https://www.taaleem.ae","Taaleem",""
"FLIS0103","Dubai College","Dubai","United Arab Emirates","UK","","9.7","https://www.dubaicollege.org/recruitment","https://www.dubaicollege.org","Independent",""
"FLIS0104","Dubai British School","Dubai Emirates Hills","United Arab Emirates","UK","","8.5","https://www.dubaibritishschool.ae/work-with-us","https://www.dubaibritishschool.ae","Taaleem",""
"FLIS0105","Sunmarke School","Dubai","United Arab Emirates","UK/IB","","8.0","https://sunmarke.com/contact-us/work-with-us/","https://sunmarke.com/contact-us/work-with-us/","Fortes",""
"FLIS0106","Nord Anglia International School Dubai","Dubai","United Arab Emirates","UK/IB","2200","8.6","https://www.nordangliaeducation.com/nas-dubai/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0107","Dubai English Speaking School","Dubai Academic City","United Arab Emirates","UK","","9.2","https://dess.sch.ae/work-at-dess","https://dess.sch.ae/work-at-dess","Independent",""
"FLIS0108","Hartland International School","Dubai","United Arab Emirates","UK","","8.0","https://www.hartlandinternational.com/current-vacancies/","https://www.hartlandinternational.com/current-vacancies/","Sobha",""
"FLIS0109","Kent College Dubai","Dubai","United Arab Emirates","UK/IB","","7.8","https://www.eteach.com/careers/kentcollege/","https://www.eteach.com","Mir Hashem",""
"FLIS0110","Repton School Dubai","Dubai","United Arab Emirates","UK/IB","","9.0","https://www.reptondubai.org/careers/","https://www.reptondubai.org","Cognita",""
"FLIS0111","Horizon International School","Dubai","United Arab Emirates","UK","","7.5","https://hisdubai.ae/careers/","https://hisdubai.ae","Cognita",""
"FLIS0112","Compass International School Doha","Doha","Qatar","UK/IB","2500","7.8","https://www.nordangliaeducation.com/cis-doha/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0113","Etqan Global Academy","Doha","Qatar","US","2500","6.5","https://www.nordangliaeducation.com/careers","https://www.nordangliaeducation.com","Private",""
"FLIS0114","British School of Kuwait","Kuwait City","Kuwait","UK","","8.5","https://bsk.edu.kw/vacancies","https://www.bsk.edu.kw","Private",""
"FLIS0115","British School Muscat","Muscat","Oman","UK/A-Level","","8.8","https://www.britishschoolmuscat.com/work-for-us/vacancies","https://www.britishschoolmuscat.com","Community Board",""
"FLIS0116","American International School of Muscat","Muscat","Oman","US/AP","","8.5","https://www.taism.com/employment","https://www.taism.com","Independent",""
"FLIS0117","British School of Bahrain","Hamala","Bahrain","UK/A-Level","","8.2","https://www.britishschoolbahrain.com/careers","https://www.britishschoolbahrain.com","Inspired Education",""
"FLIS0118","British International School Cairo","Cairo","Egypt","UK/IB","","8.6","https://www.bisc.edu.eg/careers","https://www.bisc.edu.eg","Community Board",""
"FLIS0119","Malvern College Egypt","Cairo","Egypt","UK/IB","","7.5","https://malverncollege.edu.eg/careers/","https://malverncollege.edu.eg","Malvern College Family of Schools",""
"FLIS0120","El Alsson School","Cairo","Egypt","UK/US/IB","","7.8","https://www.alsson.com/careers/","https://www.alsson.com","Private",""
"FLIS0121","International School of Kenya","Nairobi","Kenya","IB/US","","8.5","https://www.isk.ac.ke/employment","https://www.isk.ac.ke","Independent",""
"FLIS0122","Brookhouse School","Nairobi","Kenya","UK/iGCSE","","7.9","https://www.brookhouse.ac.ke/careers","https://www.brookhouse.ac.ke","Inspired Education",""
"FLIS0123","Braeburn Garden Estate","Nairobi","Kenya","UK/IB","","7.5","https://gardenestate.braeburn.com/careers","https://gardenestate.braeburn.com","Braeburn Group",""
"FLIS0124","International School of Cape Town","Cape Town","South Africa","UK/A-Level","","7.4","https://www.isct.co.za/careers","https://www.isct.co.za","Schools Group",""
"FLIS0125","American International School of Johannesburg","Johannesburg","South Africa","IB/US","","8.7","https://www.aisj-jhb.com/employment","https://www.aisj-jhb.com","Independent",""
"FLIS0126","American International School of Cape Town","Cape Town","South Africa","US/AP","","8.3","https://www.aisct.org/employment/","https://www.aisct.org","Independent",""
"FLIS0127","British International School Hanoi","Hanoi","Vietnam","UK/IB","1600","8.5","https://www.nordangliaeducation.com/bis-hanoi/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0128","British International School Ho Chi Minh City","HCMC","Vietnam","UK/IB","1700","9.2","https://www.nordangliaeducation.com/bis-hcmc/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0129","UNIS Hanoi","Hanoi","Vietnam","IB","","9.0","https://www.unishanoi.org/employment","https://www.unishanoi.org","UN-Affiliated",""
"FLIS0130","International School Ho Chi Minh City","HCMC","Vietnam","IB","","8.8","https://www.ishcmc.com/careers","https://www.ishcmc.com","Cognita",""
"FLIS0131","Marlborough College Malaysia","Johor","Malaysia","British / IGCSE / IB DP","2900","9.1","https://www.marlboroughcollegemalaysia.org/about-us/work-here/","https://www.marlboroughcollegemalaysia.org","Marlborough College UK Overseas Trust",""
"FLIS0132","Garden International School","Kuala Lumpur","Malaysia","British / IGCSE / A-Levels","2300","8.8","https://www.gardenschool.edu.my/about-gis/working-at-gis/","https://www.gardenschool.edu.my","Taylor's",""
"FLIS0133","Epsom College in Malaysia","Negeri Sembilan","Malaysia","British / Cambridge IGCSE / A-Levels","2750","8.8","https://www.epsomcollege.edu.my/join-us/work-at-epsom/","https://www.epsomcollege.edu.my","Educatus Trust (Private Sister School)",""
"FLIS0134","Mont'Kiara International School","Kuala Lumpur","Malaysia","US / IB Continuum (PYP, MYP, DP)","2150","8.7","https://www.mkis.edu.my/job-vacancy","https://www.mkis.edu.my","",""
"FLIS0135","Shrewsbury International School Riverside","Bangkok","Thailand","UK/A-Level","","9.0","https://www.shrewsbury.ac.th/riverside/careers","https://www.shrewsbury.ac.th","",""
"FLIS0136","Bangkok Patana School","Bangkok","Thailand","UK/IB","","9.1","https://www.patana.ac.th/employment/","https://www.patana.ac.th","",""
"FLIS0137","St. Andrews International School Sukhumvit 107","Bangkok","Thailand","UK/IB","","7.8","https://www.standrews107.com/careers","https://www.standrews107.com","Cognita",""
"FLIS0138","Brighton College Bangkok","Bangkok","Thailand","UK/A-Level","","8.7","https://brightoncollege.ac.th/careers/","https://brightoncollege.ac.th","",""
"FLIS0139","King's College International School Bangkok","Bangkok","Thailand","UK/IB","","8.5","https://www.kingsbangkok.ac.th/en/work-with-us","https://www.kingsbangkok.ac.th","",""
"FLIS0140","Rugby School Thailand","Chonburi","Thailand","UK/A-Level","","8.2","https://www.rugbyschool.ac.th/careers/","https://www.rugbyschool.ac.th","",""
"FLIS0141","Wellington College International Bangkok","Bangkok","Thailand","UK/A-Level","","8.8","https://www.wellingtoncollege.ac.th/careers","https://www.wellingtoncollege.ac.th","",""
"FLIS0142","International School Bangkok","Bangkok","Thailand","US/AP/IB","","9.2","https://www.isb.ac.th/careers/","https://www.isb.ac.th","",""
"FLIS0143","UWC Thailand","Phuket","Thailand","IB","","8.0","https://www.uwcthailand.ac.th/careers","https://www.uwcthailand.ac.th","",""
"FLIS0144","British School Jakarta","Jakarta","Indonesia","UK/IB","","8.8","https://www.bsj.sch.id/work-at-bsj","https://www.bsj.sch.id","",""
"FLIS0145","Jakarta Intercultural School","Jakarta","Indonesia","US/AP/IB","","9.2","https://www.jisedu.or.id/work-with-us","https://www.jisedu.or.id","",""
"FLIS0146","ACG School Jakarta","Jakarta","Indonesia","UK/IB","","7.5","https://jakarta.acgedu.com/careers/","https://jakarta.acgedu.com","Inspired Education",""
"FLIS0147","Canggu Community School Bali","Bali","Indonesia","IB","","8.0","https://www.ccsbali.com/careers","https://www.ccsbali.com","",""
"FLIS0148","British School Manila","Manila","Philippines","UK/A-Level","","8.2","https://www.britishschoolmanila.org/work-with-us","https://www.britishschoolmanila.org","",""
"FLIS0149","International School Manila","Manila","Philippines","IB","","9.0","https://www.ismanila.org/work-at-ism","https://www.ismanila.org","",""
"FLIS0150","British School in Tokyo","Tokyo","Japan","UK Curriculum (IGCSE, A-Levels)","","8.0","https://www.bst.ac.jp/work-at-bst","https://www.bst.ac.jp","",""
"FLIS0151","Malvern College Tokyo","Tokyo","Japan","IB","","7.5","https://www.malverncollegetokyo.jp/careers","https://www.malverncollegetokyo.jp","Malvern College",""
"FLIS0152","Rugby School Japan","Chiba","Japan","UK/A-Level","","9.2","https://www.rugbyschooljapan.ed.jp/careers","https://www.rugbyschooljapan.ed.jp","",""
"FLIS0153","Harrow International School Appi","Appi Kogen","Japan","UK/A-Level","","8.0","https://www.harrowappi.jp/careers/","https://www.harrowappi.jp","",""
"FLIS0154","St. Maur International School","Yokohama","Japan","IB/US","","8.5","https://www.stmaur.ac.jp/employment","https://www.stmaur.ac.jp","",""
"FLIS0155","Yokohama International School","Yokohama","Japan","IB","","8.7","https://www.yis.ac.jp/careers","https://www.yis.ac.jp","",""
"FLIS0156","Canadian Academy Kobe","Kobe","Japan","IB","","8.4","https://www.canacademy.ac.jp/employment","https://www.canacademy.ac.jp","",""
"FLIS0157","Seoul Foreign School","Seoul","South Korea","IB/US","","9.1","https://www.seoulforeign.org/employment","https://www.seoulforeign.org","",""
"FLIS0158","Chadwick International","Songdo","South Korea","IB","","8.8","https://www.chadwickinternational.org/employment","https://www.chadwickinternational.org","",""
"FLIS0159","Branksome Hall Asia","Jeju","South Korea","IB","","8.6","https://www.branksome.asia/careers","https://www.branksome.asia","",""
"FLIS0160","North London Collegiate School Jeju","Jeju","South Korea","UK/IB","","9.0","https://www.nlcsjeju.co.kr/careers","https://www.nlcsjeju.co.kr","",""
"FLIS0161","Concordia International School Shanghai","Shanghai","China","US/AP","","9.0","https://www.concordiashanghai.org/employment","https://www.concordiashanghai.org","",""
"FLIS0162","Western Academy of Beijing","Beijing","China","IB","","9.2","https://www.wab.edu/work-at-wab","https://www.wab.edu","",""
"FLIS0163","British International School Warsaw","Warsaw","Poland","UK/IB","1200","8.2","https://www.nordangliaeducation.com/bis-warsaw/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0164","Akademeia High School","Warsaw","Poland","UK/A-Level","","8.5","https://akademeia.edu.pl/en/careers/","https://akademeia.edu.pl","",""
"FLIS0165","International School of Bucharest","Bucharest","Romania","UK/IB","","7.9","https://www.isb.ro/careers/","https://www.isb.ro","",""
"FLIS0166","Prague British International School","Prague","Czechia","IGCSE / IB DP","1300","8.5","https://www.nordangliaeducation.com/pbis-prague/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
"FLIS0167","St. George's British International School Bilbao","Bilbao","Spain","UK/IB","650","7.8","https://stgeorgeschool.es/en/careers/","https://stgeorgeschool.es","Globeducate",""
"FLIS0168","International School of Helsinki","Helsinki","Finland","IB","","8.2","https://www.ishelsinki.fi/employment","https://www.ishelsinki.fi","",""
"FLIS0169","British School in Helsinki","Helsinki","Finland","UK/IB","","7.8","https://www.thebritishschool.fi/vacancies","https://www.thebritishschool.fi/vacancies","",""
"FLIS0170","Stockholm International School","Stockholm","Sweden","IB","","8.4","https://www.intsch.se/careers","https://www.intsch.se","",""
"FLIS0171","British International School of Stockholm","Stockholm","Sweden","UK/iGCSE","","8.2","https://www.bisstockholm.se/careers","https://www.bisstockholm.se","",""
"FLIS0172","Copenhagen International School","Copenhagen","Denmark","IB","","8.5","https://www.copenhageninternational.school/about/careers/","https://www.copenhageninternational.school","",""
"FLIS0173","Southbank International School","London","UK","IB","","8.8","https://www.southbank.org/careers","https://www.southbank.org","Cognita",""
"FLIS0174","ACS Cobham International School","Surrey","UK","IB/US","","8.7","https://www.acs-schools.org/careers","https://www.acs-schools.org","",""
"FLIS0175","St. George's International School Luxembourg","Luxembourg","Luxembourg","UK/A-Level","","8.2","https://www.st-georges.lu/careers","https://www.st-georges.lu","",""
"FLIS0176","International School of Luxembourg","Luxembourg","Luxembourg","IB/US","","8.6","https://www.islux.lu/careers","https://www.islux.lu","",""
"FLIS0177","St. John's International School Belgium","Waterloo","Belgium","IB/US","","8.2","https://www.stjohns.be/careers","https://www.stjohns.be","Inspired Education",""
"FLIS0178","International School of Nice","Nice","France","IB","","7.5","https://www.isn-nice.com/join-the-team","https://www.isn-nice.com/join-the-team","Globeducate",""
"FLIS0179","Mougins School","Mougins","France","UK/A-Level","","7.8","https://mougins.britishinternationalschool.com/about/work-with-us","https://mougins.britishinternationalschool.com/about/work-with-us","Globeducate",""
